year,action,curr_node_type,curr_node,next_year,next_node,count
2009,Promotion,,2009,2010,2010 Promotion,51
2009,NoChange,,2009,2010,2010 NoChange,357
2009,Demotion,,2009,2010,2010 Demotion,59
2009,Separated,,2009,2010,2010 Separated,70
2010,Promotion,Promotion,2010 Promotion,2011,2011 Promotion,46
2010,Promotion,NoChange,2010 NoChange,2011,2011 Promotion,43
2010,Promotion,Demotion,2010 Demotion,2011,2011 Promotion,1
2010,NoChange,Promotion,2010 Promotion,2011,2011 NoChange,3
2010,NoChange,NoChange,2010 NoChange,2011,2011 NoChange,287
2010,NoChange,Demotion,2010 Demotion,2011,2011 NoChange,6
2010,NoChange,Separated,2010 Separated,2011,2011 NoChange,3
2010,Demotion,NoChange,2010 NoChange,2011,2011 Demotion,10
2010,Demotion,Demotion,2010 Demotion,2011,2011 Demotion,48
2010,Separated,Promotion,2010 Promotion,2011,2011 Separated,2
2010,Separated,NoChange,2010 NoChange,2011,2011 Separated,17
2010,Separated,Demotion,2010 Demotion,2011,2011 Separated,4
2010,Separated,Separated,2010 Separated,2011,2011 Separated,67
2011,Promotion,Promotion,2011 Promotion,2012,2012 Promotion,84
2011,Promotion,NoChange,2011 NoChange,2012,2012 Promotion,21
2011,Promotion,Demotion,2011 Demotion,2012,2012 Promotion,3
2011,NoChange,NoChange,2011 NoChange,2012,2012 NoChange,259
2011,NoChange,Demotion,2011 Demotion,2012,2012 NoChange,4
2011,Demotion,NoChange,2011 NoChange,2012,2012 Demotion,8
2011,Demotion,Demotion,2011 Demotion,2012,2012 Demotion,45
2011,Demotion,Separated,2011 Separated,2012,2012 Demotion,4
2011,Separated,Promotion,2011 Promotion,2012,2012 Separated,6
2011,Separated,NoChange,2011 NoChange,2012,2012 Separated,11
2011,Separated,Demotion,2011 Demotion,2012,2012 Separated,6
2011,Separated,Separated,2011 Separated,2012,2012 Separated,86
2012,Promotion,Promotion,2012 Promotion,2013,2013 Promotion,105
2012,Promotion,NoChange,2012 NoChange,2013,2013 Promotion,20
2012,Promotion,Demotion,2012 Demotion,2013,2013 Promotion,5
2012,Promotion,Separated,2012 Separated,2013,2013 Promotion,1
2012,NoChange,Promotion,2012 Promotion,2013,2013 NoChange,2
2012,NoChange,NoChange,2012 NoChange,2013,2013 NoChange,237
2012,NoChange,Demotion,2012 Demotion,2013,2013 NoChange,2
2012,Demotion,NoChange,2012 NoChange,2013,2013 Demotion,1
2012,Demotion,Demotion,2012 Demotion,2013,2013 Demotion,47
2012,Demotion,Separated,2012 Separated,2013,2013 Demotion,1
2012,Separated,Promotion,2012 Promotion,2013,2013 Separated,1
2012,Separated,NoChange,2012 NoChange,2013,2013 Separated,5
2012,Separated,Demotion,2012 Demotion,2013,2013 Separated,3
2012,Separated,Separated,2012 Separated,2013,2013 Separated,107
2013,Promotion,Promotion,2013 Promotion,2014,2014 Promotion,118
2013,Promotion,NoChange,2013 NoChange,2014,2014 Promotion,20
2013,Promotion,Demotion,2013 Demotion,2014,2014 Promotion,1
2013,NoChange,Promotion,2013 Promotion,2014,2014 NoChange,2
2013,NoChange,NoChange,2013 NoChange,2014,2014 NoChange,191
2013,NoChange,Demotion,2013 Demotion,2014,2014 NoChange,4
2013,NoChange,Separated,2013 Separated,2014,2014 NoChange,2
2013,Demotion,Promotion,2013 Promotion,2014,2014 Demotion,1
2013,Demotion,NoChange,2013 NoChange,2014,2014 Demotion,2
2013,Demotion,Demotion,2013 Demotion,2014,2014 Demotion,42
2013,Demotion,Separated,2013 Separated,2014,2014 Demotion,2
2013,Separated,Promotion,2013 Promotion,2014,2014 Separated,10
2013,Separated,NoChange,2013 NoChange,2014,2014 Separated,28
2013,Separated,Demotion,2013 Demotion,2014,2014 Separated,2
2013,Separated,Separated,2013 Separated,2014,2014 Separated,112
2014,Promotion,Promotion,2014 Promotion,2015,2015 Promotion,133
2014,Promotion,NoChange,2014 NoChange,2015,2015 Promotion,12
2014,Promotion,Demotion,2014 Demotion,2015,2015 Promotion,2
2014,Promotion,Separated,2014 Separated,2015,2015 Promotion,4
2014,NoChange,Promotion,2014 Promotion,2015,2015 NoChange,2
2014,NoChange,NoChange,2014 NoChange,2015,2015 NoChange,173
2014,NoChange,Demotion,2014 Demotion,2015,2015 NoChange,6
2014,Demotion,NoChange,2014 NoChange,2015,2015 Demotion,3
2014,Demotion,Demotion,2014 Demotion,2015,2015 Demotion,38
2014,Demotion,Separated,2014 Separated,2015,2015 Demotion,1
2014,Separated,Promotion,2014 Promotion,2015,2015 Separated,4
2014,Separated,NoChange,2014 NoChange,2015,2015 Separated,11
2014,Separated,Demotion,2014 Demotion,2015,2015 Separated,1
2014,Separated,Separated,2014 Separated,2015,2015 Separated,147
2015,Promotion,Promotion,2015 Promotion,2016,2016 Promotion,148
2015,Promotion,NoChange,2015 NoChange,2016,2016 Promotion,19
2015,Promotion,Demotion,2015 Demotion,2016,2016 Promotion,1
2015,Promotion,Separated,2015 Separated,2016,2016 Promotion,1
2015,NoChange,NoChange,2015 NoChange,2016,2016 NoChange,148
2015,NoChange,Demotion,2015 Demotion,2016,2016 NoChange,4
2015,Demotion,Promotion,2015 Promotion,2016,2016 Demotion,1
2015,Demotion,NoChange,2015 NoChange,2016,2016 Demotion,11
2015,Demotion,Demotion,2015 Demotion,2016,2016 Demotion,35
2015,Separated,Promotion,2015 Promotion,2016,2016 Separated,2
2015,Separated,NoChange,2015 NoChange,2016,2016 Separated,3
2015,Separated,Demotion,2015 Demotion,2016,2016 Separated,2
2015,Separated,Separated,2015 Separated,2016,2016 Separated,162
2016,Promotion,Promotion,2016 Promotion,2017,2017 Promotion,156
2016,Promotion,NoChange,2016 NoChange,2017,2017 Promotion,15
2016,Promotion,Demotion,2016 Demotion,2017,2017 Promotion,1
2016,NoChange,Promotion,2016 Promotion,2017,2017 NoChange,3
2016,NoChange,NoChange,2016 NoChange,2017,2017 NoChange,120
2016,NoChange,Demotion,2016 Demotion,2017,2017 NoChange,2
2016,NoChange,Separated,2016 Separated,2017,2017 NoChange,1
2016,Demotion,NoChange,2016 NoChange,2017,2017 Demotion,7
2016,Demotion,Demotion,2016 Demotion,2017,2017 Demotion,42
2016,Separated,Promotion,2016 Promotion,2017,2017 Separated,10
2016,Separated,NoChange,2016 NoChange,2017,2017 Separated,10
2016,Separated,Demotion,2016 Demotion,2017,2017 Separated,2
2016,Separated,Separated,2016 Separated,2017,2017 Separated,168
2017,Promotion,Promotion,2017 Promotion,2018,2018 Promotion,163
2017,Promotion,NoChange,2017 NoChange,2018,2018 Promotion,18
2017,Promotion,Demotion,2017 Demotion,2018,2018 Promotion,1
2017,Promotion,Separated,2017 Separated,2018,2018 Promotion,1
2017,NoChange,Promotion,2017 Promotion,2018,2018 NoChange,4
2017,NoChange,NoChange,2017 NoChange,2018,2018 NoChange,101
2017,NoChange,Demotion,2017 Demotion,2018,2018 NoChange,8
2017,NoChange,Separated,2017 Separated,2018,2018 NoChange,3
2017,Demotion,NoChange,2017 NoChange,2018,2018 Demotion,1
2017,Demotion,Demotion,2017 Demotion,2018,2018 Demotion,35
2017,Separated,Promotion,2017 Promotion,2018,2018 Separated,5
2017,Separated,NoChange,2017 NoChange,2018,2018 Separated,6
2017,Separated,Demotion,2017 Demotion,2018,2018 Separated,5
2017,Separated,Separated,2017 Separated,2018,2018 Separated,186
2018,Promotion,Promotion,2018 Promotion,2019,2019 Promotion,168
2018,Promotion,NoChange,2018 NoChange,2019,2019 Promotion,12
2018,Promotion,Demotion,2018 Demotion,2019,2019 Promotion,1
2018,NoChange,Promotion,2018 Promotion,2019,2019 NoChange,1
2018,NoChange,NoChange,2018 NoChange,2019,2019 NoChange,91
2018,NoChange,Demotion,2018 Demotion,2019,2019 NoChange,2
2018,Demotion,NoChange,2018 NoChange,2019,2019 Demotion,5
2018,Demotion,Demotion,2018 Demotion,2019,2019 Demotion,29
2018,Separated,Promotion,2018 Promotion,2019,2019 Separated,14
2018,Separated,NoChange,2018 NoChange,2019,2019 Separated,8
2018,Separated,Demotion,2018 Demotion,2019,2019 Separated,4
2018,Separated,Separated,2018 Separated,2019,2019 Separated,202
